MolWt,LogP,TPSA,HBD,HBA,RotB,RadiusGyr,Asphericity,Spherocity,PMI1,PMI2,PMI3
435.5239999999997,2.671900000000001,79.9,2,5,6,5.228841191990117,0.5139307577516413,0.15312931132014332,2322.760690013683,9946.97350606003,11545.397725203236
447.13099999999974,3.6533000000000024,85.02,2,6,5,4.088888714609383,0.4896285573821683,0.1483020203554143,1580.7397515467724,6025.19135450371,7345.245037701889
501.66699999999963,5.510500000000006,81.0,3,5,14,6.141651165841183,0.6848983742834254,0.17113540557356458,2180.3038126839415,17545.615143293686,18119.718163629674
324.3989999999996,3.812980000000003,36.26,0,3,7,3.8561131571597214,0.24566470871758841,0.35854812997478946,1765.921552767795,3367.331434207545,4514.1193859235045
445.5589999999997,5.160300000000005,40.160000000000004,0,5,10,4.643893959662116,0.37823888857685495,0.315034772750149,2528.6486903495233,7739.3659313422395,8949.614374689421
420.55699999999956,4.154700000000004,56.75000000000001,0,4,9,5.097194086047415,0.5968143832012127,0.24306438628911456,1657.6255924140055,10021.50235896238,10174.180857058094
408.5209999999997,3.7982000000000022,38.82000000000001,1,3,5,4.813343574500843,0.5234791275900297,0.23718195356869423,1778.1229898851461,8097.047145545256,9054.284723353014
398.4659999999997,3.9566200000000027,73.80000000000001,2,3,5,4.752528902465982,0.4905265042917567,0.14695039214806582,1844.0053946454873,7539.408221019446,8616.515682342468
399.54499999999973,3.424120000000001,83.28,3,7,6,5.085025795405438,0.6437023036080056,0.16099575183611256,1374.9299743589663,9311.353814048649,9976.17577006402
706.5240000000011,6.774200000000005,93.81,3,5,16,4.887235621322193,0.23286615107180844,0.3424357405507458,6039.753729757228,12535.228437854654,15175.77107773196
508.45599999999985,5.008000000000004,108.40999999999998,2,7,3,6.933103934104669,0.8611591204388641,0.05408432841879647,1178.9791095924477,23493.944910751125,24207.930975638486
460.4559999999997,4.493900000000004,91.34,2,6,3,6.5999287892365155,0.8912887364267084,0.06500932122891666,749.0513019624316,19523.38664171422,19841.623140217882
444.8939999999997,3.270400000000002,89.27,2,7,7,5.658942503911894,0.7561555565835564,0.1317021436466282,1244.4150146422967,13361.564613844514,13888.262295594257
394.47499999999974,3.568500000000002,89.13000000000001,2,5,8,4.262746407586309,0.2785330589172475,0.21845863210736158,2460.3496775486988,5077.943276455611,6797.7229676716015
357.3599999999997,3.416900000000002,67.00999999999999,2,3,4,4.639692777327832,0.5550018621590351,0.09569648796339042,1348.6237515997368,6536.411368734511,7500.562973538161
440.9499999999997,4.627600000000004,40.510000000000005,1,3,5,5.364383589510684,0.4599609436749228,0.1241194911946969,2889.904177921606,10051.521777926275,12436.667545575545
454.61099999999954,5.093080000000005,63.95,0,6,20,4.963592736618375,0.32948696264079824,0.3167897183065485,3257.7827371028698,8871.27487962686,10271.674698608778
516.4770000000002,2.7151000000000005,114.55,0,10,8,7.142272862066135,0.9009504337841945,0.05440090173646357,893.2746626566314,25765.25796605229,26034.580486656996
357.2069999999999,4.014800000000003,51.22,1,3,4,3.5931994709527526,0.22406929745677423,0.36631185636232577,1643.897211885251,3558.8556119346745,4021.105225080798
484.49299999999965,5.253100000000008,50.519999999999996,1,6,11,4.604332343861816,0.5071142160883938,0.11514503638670429,2056.628489520677,8456.102061523748,10029.652817104272
518.9379999999999,6.122700000000007,50.519999999999996,1,6,11,4.665708308209106,0.4289045173158262,0.2018170076185421,2681.46001518658,9177.814956151593,10734.075403192226
435.2849999999998,4.717400000000002,120.63999999999999,2,7,7,4.5679091329569825,0.31147591065642466,0.25974521742173867,2958.429657875048,6431.561005306779,8775.143486159
700.0950000000008,4.535400000000003,134.67000000000002,1,9,7,6.916487350481501,0.7154324300717484,0.10479745723699715,3470.8302925456715,30854.60046602099,32656.574600033473
378.5449999999997,3.607000000000003,45.39,1,5,5,4.349000393298245,0.4113376981873035,0.2911279441695781,1730.8400226195772,5999.553054284895,6589.059112120975
